,Unnamed: 0,x,y,z,color
813,813,7.183311939239503,5.696658134460449,4.2192206382751465,#a28570
820,820,9.489910125732418,2.006643772125244,8.77034854888916,#624e5b
829,829,9.554358482360842,4.84460973739624,8.815967559814453,#aaa8ab
837,837,8.124419212341309,7.857581615447997,4.3724985122680655,#b0a067
841,841,10.97298812866211,3.6519632339477535,6.318720817565918,#9d9fa0
872,872,7.056715965270997,5.037898540496825,3.8670163154602046,#39393b
887,887,8.490221977233888,8.274168968200684,4.8936028480529785,#afb1b0
889,889,9.338830947875977,2.96523642539978,7.49935007095337,#575d5a
889,889,9.338830947875977,2.96523642539978,7.49935007095337,#575d5a
932,932,12.640755653381348,-5.682096481323241,2.3400807380676274,#7f7f81
979,979,13.290444374084473,2.6521143913269043,8.408714294433594,#76746f
1037,1037,10.811605453491213,6.117842674255371,7.959462642669678,#e1dfd9
1119,1119,10.743436813354492,3.823863506317138,5.914531230926515,#b78154
1182,1182,12.29522037506104,3.1195619106292725,10.38020610809326,#606875
1233,1233,9.93053245544434,1.1579896211624143,6.537924766540527,#6a6a6d
1244,1244,10.408644676208496,0.25734540820121765,5.720186233520508,#27282b
1258,1258,10.701547622680664,1.9652236700057983,6.020912647247314,#363739
1260,1260,9.580709457397461,2.5753049850463867,5.595977306365967,#693135
1270,1270,8.857998847961426,0.9978154897689822,7.214463710784912,#333336
1297,1297,9.099124908447264,0.9857876300811768,7.063577651977536,#445b84
1325,1325,14.090418815612795,-3.7810268402099614,3.8163015842437744,#444541
1342,1342,6.953606128692624,6.327471733093263,3.379828453063965,#515050
1346,1346,8.684268951416014,0.5049288868904114,4.201201438903809,#6b6865
1371,1371,10.384671211242676,5.815279960632324,7.482085227966309,#b1aab0
1406,1406,8.472272872924803,4.593803882598877,4.896126747131348,#846f5b
1460,1460,8.113637924194336,7.96406888961792,4.45635986328125,#728c9b
1487,1487,9.591272354125977,4.842587947845459,8.959728240966797,#bab1b4
1550,1550,7.6671385765075675,0.8876873850822449,1.423092246055603,#4d4d4d
1576,1576,8.804037094116211,2.529170513153076,6.0600495338439915,#7d90bd
1612,1612,5.9615559577941895,8.562306404113768,5.5523033142089835,#bcb8b9
1659,1659,12.015791893005373,3.539210081100464,10.0957670211792,#b57c8b
1660,1660,7.9555816650390625,4.879984855651856,4.806073188781737,#8f6845
1666,1666,11.100874900817873,2.4093470573425284,12.270390510559082,#515358
1681,1681,8.898781776428223,4.452040195465088,9.120276451110842,#b59e64
1681,1681,8.898781776428223,4.452040195465088,9.120276451110842,#b59e64
1719,1719,13.543231010437012,8.244663238525389,2.17242169380188,#7b98ae
1723,1723,10.413252830505373,4.582742691040039,9.895926475524902,#d6d6db
1734,1734,9.120055198669434,0.5471873879432678,8.587409019470215,#9f5556
1742,1742,7.554670333862304,7.5323853492736825,0.842534601688385,#1f2025
1773,1773,9.528174400329588,0.524931252002716,4.3398003578186035,#565654
1784,1784,9.724989891052246,1.4187283515930176,5.631901741027832,#323234
1792,1792,9.952653884887695,0.3660838603973389,4.836409091949463,#414449
1795,1795,9.24193859100342,4.909920692443848,8.552802085876465,#a19ea4
1816,1816,9.552794456481934,7.772321701049805,-2.655773639678955,#666562
1823,1823,12.595696449279785,4.651192665100098,7.981032371520995,#cc8f5a
1875,1875,13.78713607788086,8.594127655029299,2.231982707977295,#d09b9e
1879,1879,12.729860305786133,-5.594881534576416,1.5762364864349363,#b7b8c2
1892,1892,8.04798984527588,7.692201137542722,5.326228618621824,#9aa4a6
1907,1907,16.034673690795902,5.56754732131958,2.1449048519134517,#706274
1912,1912,11.936764717102045,5.990003585815429,9.84701919555664,#cac3c0
1920,1920,6.735320568084718,2.0414106845855717,0.052579469978809364,#aca2a4
1928,1928,9.474578857421877,-0.4529735743999481,6.480751514434815,#212428
1934,1934,8.53176689147949,4.468517303466797,4.40921688079834,#a55a5f
1957,1957,8.395930290222168,4.6172213554382315,4.429330348968506,#845149
2000,2000,16.215450286865234,5.3628411293029785,3.3947696685791016,#8e7c7e
2026,2026,9.439250946044922,0.050563134253025055,4.014294624328612,#666f8c
2036,2036,10.392887115478516,1.658912658691406,5.109142303466797,#4f5468
2036,2036,10.392887115478516,1.658912658691406,5.109142303466797,#4f5468
2070,2070,9.120135307312012,-1.3884525299072263,-1.9109600782394407,#88818b
2128,2128,5.7875213623046875,7.182719230651856,-2.075061559677124,#8d887e
2172,2172,11.312380790710447,5.789360523223878,6.979360580444336,#9a8d7e
2176,2176,10.765055656433104,3.950647354125977,6.249980449676514,#323437
2246,2246,8.785101890563965,-0.0258692242205143,7.157094478607178,#69704b
2261,2261,11.596767425537104,3.9093747138977046,5.223309516906737,#bebcbd
2279,2279,10.066959381103516,7.4806528091430655,-2.217732191085816,#56585b
2314,2314,10.9103422164917,3.6700179576873775,6.054506778717041,#b39da3
2331,2331,9.780935287475586,8.267375946044924,6.994178771972657,#6e6b70
2344,2344,11.03120708465576,8.094903945922853,6.7414703369140625,#bfa7aa
2400,2400,8.488835334777832,9.924076080322266,0.05062298104166985,#d0bc90
