value,date,brand
-5.3371317105797145,01/01/2020,Nike
2.245834043641921,01/01/2017,Jordan
-5.079953678023634,04/13/2018,Jordan
5.1939261741021285,02/24/2017,Nike
4.37997793347807,01/01/2017,adidas
-6.883804853071719,01/31/2009,Jordan
1.6773860408676873,05/20/2017,adidas
4.886871870934903,06/18/2020,Reebok
6.462479962793059,01/01/2008,Jordan
-8.735129891620439,07/15/2018,Jordan
-7.111821757704211,05/23/2020,Jordan
-4.971987062691635,02/24/2018,Nike
-2.7342290460623278,12/24/2016,Nike
-6.492522507287516,04/11/2020,Jordan
-2.2685527235248335,08/01/2019,Nike
4.0352358307488085,12/06/2019,adidas
-0.39831178341879986,09/20/2017,adidas
3.8566733257582744,02/15/2018,adidas
7.81277085981498,11/23/2016,Nike
-3.404353103919385,12/26/2013,Nike
3.684582467975986,02/21/2019,adidas
-2.7857516770160196,11/22/2014,New Balance
4.417066959554813,08/17/2018,Nike
-3.4606063568804095,10/29/2011,Nike
5.496904201584495,01/01/2005,Nike
0.753283692138599,02/08/2014,Jordan
3.0434877533191247,06/10/2020,Nike
3.260898303722781,07/19/2018,adidas
0.7325475158390327,04/13/2019,adidas
0.8248943198360423,10/03/2019,Jordan
2.302378872455507,07/30/2013,Reebok
1.6486320388036186,10/19/2018,Reebok
-1.4092689229041642,09/17/2011,Nike
-7.186574736033005,10/31/2019,Nike
5.220958518149358,11/10/2018,Reebok
2.7794930290078628,07/19/2019,Reebok
-2.1482358000413706,01/01/2004,Nike
0.7316126237161432,07/11/2019,Nike
1.227904805719041,10/03/2019,Nike
2.335772146384685,06/04/2020,Nike
2.4674521060813706,01/01/2018,Reebok
3.68292623901599,09/13/2018,Nike
-7.312699949306582,01/01/2020,Nike
0.07074329237078986,06/18/2015,Nike
-1.6495549945177193,05/19/2018,adidas
1.8022151417086716,06/03/2006,Nike
5.910597507516259,06/01/2020,adidas
0.6998721852011268,11/01/2019,Nike
2.2596584533087953,07/29/2016,adidas
-7.08126057744295,05/28/2020,Nike
-2.61677609616161,03/31/2017,Nike
-7.287605293196599,11/05/2017,Nike
2.3439667142801346,04/19/2019,adidas
1.2856175283239744,07/07/2018,adidas
-1.3715621754619471,10/24/2013,Vans
0.23161323098738132,02/15/2018,Nike
0.9411739188929308,11/01/2019,Nike
3.235481355131745,01/01/2006,Nike
7.720428034633357,01/01/2007,Nike
0.03709929639128542,01/16/2016,Nike
-5.567626457918928,01/01/2011,Nike
0.21068800576606242,09/20/2008,Nike
-0.6830934561615994,02/14/2019,Nike
-4.195708554205072,10/29/2011,Nike
1.6998073453450573,03/20/2019,New Balance
1.6230048675843287,04/17/2004,Nike
6.203734364245823,09/20/2018,adidas
-3.546691730539903,09/01/2018,Nike
0.3416826812803873,09/21/2019,Jordan
-2.3889170935911292,06/21/2018,Vans
10.545689775469652,04/13/2019,Nike
-4.393144040935501,11/10/2018,adidas
-7.349711876261823,01/01/2010,Nike
-0.5225333500815708,06/07/2019,Vans
1.7695090345893019,04/15/2017,adidas
-1.0725696807441532,02/01/2016,Converse
0.5210042567817007,06/26/2018,adidas
1.2368509202511346,05/23/2015,Jordan
-1.1627041106668572,01/31/2019,Nike
-7.137585797966239,07/01/2019,Jordan
5.78955180634522,02/15/2014,Jordan
-7.279271680444956,07/09/2014,Jordan
-1.943275087727144,06/01/2018,Nike
2.4833339160510746,06/25/2016,adidas
-6.706527740081292,07/11/2020,Jordan
0.17168855409104458,06/02/2012,Jordan
-2.2360050079427833,09/20/2018,New Balance
4.943807952141218,01/01/2005,Nike
4.162175707623044,06/09/2017,Reebok
-4.258948676486214,10/24/2018,adidas
0.9637387360778534,02/01/2019,Jordan
5.0979449436545226,02/21/2019,Converse
3.0415695574401735,02/06/2020,Nike
-8.887958182184853,03/23/2020,Nike
-0.9223192024806983,01/01/2017,Vans
-7.224097061150371,02/08/2018,Nike
-4.427017017753813,11/19/2016,adidas
3.946370582252981,01/01/2017,Jordan
1.822432297748778,03/14/2019,Converse
10.709662895886874,05/01/2018,Nike
2.8071306584841187,08/05/2017,adidas
-7.36763940020162,03/08/2018,Jordan
-3.602441217058204,11/23/2014,Nike
8.802135187692597,07/21/2018,Nike
-7.290716206137409,05/01/2020,Nike
-6.8312764160535515,01/01/2007,Nike
8.63534780031685,06/15/2018,Jordan
3.154973480518624,01/01/2018,Nike
0.4479981746841905,01/01/2015,adidas
-1.1089119216346597,03/01/2019,Vans
-7.168805374345828,03/15/2020,Jordan
-7.456751009734806,04/01/2019,Nike
-5.617750005887655,11/20/2019,Nike
2.9945504948125965,08/01/2018,adidas
-5.330607746411152,03/22/2018,Nike
-4.0564542924834495,01/01/2003,Nike
-0.9887422592727079,06/10/2018,Nike
1.0345400326553869,12/16/2019,adidas
-1.3925610083698132,04/12/2018,Nike
-0.9336765054914365,04/26/2018,Nike
12.289337482439244,01/01/2018,Nike
4.263609375769753,01/01/2017,Jordan
-0.39295458625314555,02/16/2018,adidas
1.328336292366399,08/04/2018,Nike
-4.743337773717827,12/01/2018,Jordan
-3.151787773423238,09/15/2016,Nike
0.9063082711100697,07/02/2016,Jordan
-7.786234902612807,10/01/2019,Jordan
1.3611296566281947,03/01/2018,adidas
1.5819013349780733,01/06/2016,adidas
4.3656784126213655,09/07/2019,Nike
-6.914083170757668,03/03/2018,Jordan
-5.543371333153825,07/07/2007,Nike
0.9327840498336676,11/26/2014,Nike
-3.9155631631792045,09/24/2018,Jordan
-0.012499478372635946,07/08/2020,Jordan
-2.44734615093265,08/16/2018,Converse
1.5836999989714797,10/07/2017,adidas
-1.3888761728274048,06/01/2020,Nike
3.0623739545602175,03/26/2020,Nike
-2.572384585427907,01/01/2005,Nike
-3.421175734950266,03/21/2019,Jordan
-3.705098506833973,10/01/2004,Nike
3.121729714906606,09/20/2018,Nike
-2.8379567633853666,07/25/2015,Nike
-2.7659648238989583,02/10/2020,New Balance
-2.856201342161548,01/01/2019,adidas
-3.5101590518414505,01/01/2018,adidas
-2.1594509681310323,12/30/2017,Jordan
-6.533088149993954,01/01/2006,Nike
5.604446193589947,12/20/2014,Jordan
1.7603206142416792,10/29/2015,adidas
-7.103295559696936,03/01/2010,Jordan
-4.331587261812258,07/01/2011,Nike
-1.6535477423097207,10/01/2017,Nike
2.8131673241192408,12/07/2017,adidas
2.5752032175236117,11/19/2018,adidas
3.7785367280741675,02/15/2019,Nike
-1.7859485929950023,08/30/2017,adidas
-4.8516134429142035,01/01/2017,Nike
-4.9074150874798255,11/24/2017,Nike
6.067526535159086,02/28/2020,adidas
7.812327217347214,05/17/2014,Nike
3.906446989036623,07/01/2020,Nike
0.19359115516308295,09/06/2019,Nike
3.017435345632074,02/01/2018,Nike
2.0873154104274936,07/19/2018,Nike
-4.960663820758511,01/01/2018,Nike
-1.2341966614076496,01/15/2020,Nike
4.605632496940634,05/04/2013,Jordan
5.574159705801254,04/22/2019,Jordan
4.311040379667855,10/01/2009,Nike
1.1250356411156546,01/01/2016,Nike
0.5647535885064529,05/28/2019,Converse
3.641888999246578,07/24/2020,Nike
-1.7568351245249194,10/04/2019,Vans
3.7369696328603363,03/02/2017,Reebok
-2.553087805571545,10/01/2016,Nike
1.7356864128380225,06/28/2017,adidas
-4.78380786849978,10/05/2013,Nike
-4.073970247354704,01/01/2019,adidas
-0.08689899599939807,10/01/2018,Nike
2.308973184773527,06/27/2018,adidas
-0.5240639274040443,01/01/2017,New Balance
12.427826485437516,04/29/2012,Nike
-7.504492451387879,09/01/2005,Nike
-0.4212844787860007,03/19/2016,adidas
1.969387041431023,11/04/2017,adidas
-6.483962127818523,01/01/2009,Nike
-2.6308491988940568,01/01/2017,Converse
6.568062746375206,12/16/2006,Jordan
-3.77019635062018,11/19/2016,Nike
-4.523423092063145,12/01/2012,adidas
-3.6491026158450017,12/19/2019,Nike
-0.8832332993820518,05/18/2020,New Balance
0.2808146605076435,05/15/2010,Jordan
-5.302455424403265,02/16/2018,Nike
1.995050747848522,02/22/2018,Nike
-2.2071402237780737,09/01/2016,Nike
-7.454420654629058,04/04/2009,Nike
6.683987709598523,05/12/2018,Jordan
2.008084670656764,12/26/2008,Jordan
0.6777014863774459,10/13/2018,Reebok
12.398743288025825,04/01/2012,Nike
-2.771948000503257,05/18/2017,Nike
6.623343368678607,08/03/2013,Jordan
-3.6630177122318743,03/31/2015,Nike
