x,y,z
1.6935506,1.6305168,-4.4128876
-1.3570069,-3.7598467,1.4065614
1.3192534,0.34863806,-3.1326904
-1.5575101,2.4084399,-1.8638629
-0.7406258,0.19087942,4.1739306
0.23641467,0.2555576,1.8646373
-0.53509617,1.1950908,-2.0742311
1.4573705,1.0585607,6.5146627
0.34658238,3.4567497,-2.7357504
-0.21352302,-1.1347445,-3.0675068
-0.72147256,1.969036,1.7562884
0.26316223,0.8101529,3.159249
-0.8801777,-1.4033514,-2.3494956
-1.3681327,-3.8837025,1.594665
-0.9954891,2.0606673,-3.1871443
0.030034691,1.8533229,-0.57810116
1.7834129,3.1843672,-0.5642676
1.0570167,0.5019609,3.1330156
-1.6582446,0.56051797,12.599574
-1.0856901,0.46561423,5.349172
-1.8267037,2.2183135,-1.6086538
-0.022399602,-4.7261133,2.8410456
0.054706246,2.2008238,0.6090448
3.0336633,0.7466455,4.067223
-0.52702135,2.240161,2.3767283
-0.7692811,3.0179396,-0.22765195
-3.5936222,7.922601,4.9320498
-1.8157678,-0.034015145,7.639722
1.9727148,1.5754932,2.604701
0.93583924,-0.9118446,2.6268632
0.3677076,2.15937,4.1112614
1.4676831,1.3162307,6.4974794
1.8790315,-2.1142695,4.4434376
1.5458953,-0.81749105,2.544064
-1.4918145,-0.6751754,7.0634456
0.45059818,1.5882027,-0.6593635
1.9885621,-2.1173716,2.0887034
1.0713098,2.4816453,-3.2774746
0.5684383,-1.7014338,4.2182035
-3.610859,7.879698,4.960461
1.6611626,1.8247459,-0.484052
-1.6240447,-2.211386,-3.8646722
1.9284564,1.4848543,-4.596551
0.020453956,-4.620206,2.6301875
1.7904906,-1.3124205,5.308134
0.16657972,-4.638218,2.673134
0.23714231,1.869909,-2.3557715
2.1181822,-3.6479478,2.1115432
-3.7711146,1.970597,6.9213457
2.1379366,-3.7310755,0.49377158
2.431517,-2.1251862,2.4020205
0.40622607,1.051863,1.9986875
-1.5498047,2.0258946,3.6542258
0.23473296,2.5689516,-0.8639751
-0.46392485,2.175269,2.4862604
0.39342654,0.57716775,4.169323
0.7329626,1.7499148,3.4835966
1.9359809,-0.7186075,6.4965897
-3.8051493,1.7952576,6.498926
0.49791706,-0.7805629,3.8022294
0.07467078,2.0803838,1.0950913
-0.8874364,1.2308425,1.9078219
-0.27949283,2.3568785,0.9218251
-0.83944374,-1.7882181,-2.4763868
-1.6876094,-3.1966476,1.0728208
-1.6340282,-4.002952,1.8741736
-0.7808626,3.944623,3.3834455
1.0700382,2.3611815,-3.621749
0.7172881,-0.61004597,3.9554412
1.9294271,-3.264808,2.767706
-1.4764451,-2.9409177,0.28358057
-5.067709,0.8239261,7.65419
-0.45433727,2.9344935,-1.3620273
0.6700449,4.591968,-0.99413645
-0.4713871,2.7613485,1.2360613
3.196379,0.6394409,4.2241364
-1.6111153,1.7664884,4.0278053
0.36765483,1.2502905,4.299415
2.1143005,-0.3405315,4.088789
2.975535,-4.423427,0.52015245
0.79574984,-0.053251192,4.0896378
1.7924503,-3.7306116,2.9506536
0.5856539,0.75122625,-4.2403297
2.098182,0.36307332,3.3852365
2.0060782,-0.44407287,6.5746913
-1.7219809,0.34992608,7.2980275
2.6083522,-4.0337796,2.260049
-0.10157714,0.19667256,-3.9777305
2.783032,-3.6811666,1.1826826
0.5773496,-0.6704773,-1.4182926
0.8710962,-0.46663758,3.4680128
2.9108582,-3.6450467,1.2508649
1.6872939,2.26518,3.6471465
