,pca,year,brand
191,-1.1627041106668572,2019,Nike
192,-7.137585797966239,2019,Jordan
193,5.78955180634522,2014,Jordan
194,-7.279271680444956,2014,Jordan
195,-1.943275087727144,2018,Nike
196,2.4833339160510746,2016,adidas
197,-6.706527740081292,2020,Jordan
198,0.17168855409104458,2012,Jordan
199,-2.2360050079427833,2018,New Balance
200,4.943807952141218,2005,Nike
201,4.162175707623044,2017,Reebok
202,-4.258948676486214,2018,adidas
203,0.9637387360778534,2019,Jordan
204,5.0979449436545226,2019,Converse
205,3.0415695574401735,2020,Nike
206,-8.887958182184853,2020,Nike
207,-0.9223192024806983,2017,Vans
208,-7.224097061150371,2018,Nike
209,-4.427017017753813,2016,adidas
210,3.946370582252981,2017,Jordan
211,1.822432297748778,2019,Converse
212,10.709662895886874,2018,Nike
213,2.8071306584841187,2017,adidas
214,-7.36763940020162,2018,Jordan
215,-3.602441217058204,2014,Nike
216,8.802135187692597,2018,Nike
217,-7.290716206137409,2020,Nike
218,-6.8312764160535515,2007,Nike
219,8.63534780031685,2018,Jordan
221,3.154973480518624,2018,Nike
222,0.4479981746841905,2015,adidas
223,-1.1089119216346597,2019,Vans
224,-7.168805374345828,2020,Jordan
225,-7.456751009734806,2019,Nike
226,-5.617750005887655,2019,Nike
227,2.9945504948125965,2018,adidas
229,-5.330607746411152,2018,Nike
232,-4.0564542924834495,2003,Nike
233,-0.9887422592727079,2018,Nike
235,1.0345400326553869,2019,adidas
236,-1.3925610083698132,2018,Nike
237,-0.9336765054914365,2018,Nike
238,12.289337482439244,2018,Nike
239,4.263609375769753,2017,Jordan
240,-0.39295458625314555,2018,adidas
241,1.328336292366399,2018,Nike
242,-4.743337773717827,2018,Jordan
243,-3.151787773423238,2016,Nike
245,0.9063082711100697,2016,Jordan
246,-7.786234902612807,2019,Jordan
247,1.3611296566281947,2018,adidas
249,1.5819013349780733,2016,adidas
251,4.3656784126213655,2019,Nike
252,-6.914083170757668,2018,Jordan
253,-5.543371333153825,2007,Nike
254,0.9327840498336676,2014,Nike
255,-3.9155631631792045,2018,Jordan
256,-0.012499478372635946,2020,Jordan
257,-2.44734615093265,2018,Converse
258,1.5836999989714797,2017,adidas
260,-1.3888761728274048,2020,Nike
261,3.0623739545602175,2020,Nike
262,-2.572384585427907,2005,Nike
263,-3.421175734950266,2019,Jordan
264,-3.705098506833973,2004,Nike
265,3.121729714906606,2018,Nike
266,-2.8379567633853666,2015,Nike
267,-2.7659648238989583,2020,New Balance
269,-2.856201342161548,2019,adidas
270,-3.5101590518414505,2018,adidas
271,-2.1594509681310323,2017,Jordan
272,-6.533088149993954,2006,Nike
273,5.604446193589947,2014,Jordan
274,1.7603206142416792,2015,adidas
275,-7.103295559696936,2010,Jordan
276,-4.331587261812258,2011,Nike
277,-1.6535477423097207,2017,Nike
278,2.8131673241192408,2017,adidas
279,2.5752032175236117,2018,adidas
280,3.7785367280741675,2019,Nike
281,-1.7859485929950023,2017,adidas
282,-4.8516134429142035,2017,Nike
283,-4.9074150874798255,2017,Nike
284,6.067526535159086,2020,adidas
285,7.812327217347214,2014,Nike
286,3.906446989036623,2020,Nike
287,0.19359115516308295,2019,Nike
288,3.017435345632074,2018,Nike
289,2.0873154104274936,2018,Nike
