,Unnamed: 0,x,y,z,color
1500,1500,9.991492271423342,1.4654276371002195,5.896169185638429,#5a595b
1504,1504,6.5542049407958975,1.5823771953582766,0.4013890624046326,#968a90
1514,1514,13.887707710266113,3.0837874412536626,9.154826164245604,#b1b4bd
1529,1529,15.63278579711914,-4.112530708312988,5.018777847290039,#383a3c
1546,1546,8.486261367797853,0.9043493270874025,7.99012851715088,#77626a
1550,1550,7.6671385765075675,0.8876873850822449,1.423092246055603,#4d4d4d
1556,1556,9.941842079162596,7.643895149230957,6.81731939315796,#c7d3cc
1568,1568,10.341970443725586,5.026193618774414,8.130571365356444,#b1b1b1
1574,1574,9.940145492553713,5.0493812561035165,8.514822959899902,#9facb6
1576,1576,8.804037094116211,2.529170513153076,6.0600495338439915,#7d90bd
1580,1580,9.306939125061037,4.091555595397948,7.7791175842285165,#a18e92
1589,1589,10.223212242126463,0.789262592792511,8.78387451171875,#696c6c
1597,1597,8.482696533203125,0.12189870327711105,6.81444215774536,#2e2e30
1612,1612,5.9615559577941895,8.562306404113768,5.5523033142089835,#bcb8b9
1617,1617,6.940897464752197,6.1889519691467285,3.4396896362304688,#242424
1618,1618,13.668214797973633,3.023874044418335,8.990619659423826,#c35f64
1624,1624,12.968708038330078,7.835209846496582,2.529308795928955,#726d6c
1624,1624,12.968708038330078,7.835209846496582,2.529308795928955,#726d6c
1676,1676,10.654018402099608,2.6054255962371826,5.5224270820617685,#484445
1682,1682,9.995275497436523,4.395296573638916,9.07487678527832,#b5b6b7
1687,1687,14.357396125793455,-3.5517904758453374,3.6516022682189937,#858582
1688,1688,7.415381431579591,7.723304271697997,6.088542461395263,#cccbd0
1694,1694,10.072320938110352,6.0569963455200195,17.374622344970707,#3f3f41
1698,1698,10.207478523254393,1.8649555444717407,5.264821529388428,#3f2c30
1717,1717,12.732573509216307,-5.8091773986816415,2.79840636253357,#686c67
1730,1730,10.447712898254393,1.1169542074203491,8.838411331176756,#727065
1746,1746,16.621206283569336,4.998593330383301,2.410998582839966,#6a746c
1748,1748,10.863683700561523,5.921282291412353,8.637467384338379,#cfd2d7
1761,1761,9.801642417907713,4.343935966491698,6.129891872406006,#895a5d
1787,1787,11.09382438659668,3.504549503326416,5.4083847999572745,#6e5b58
1826,1826,9.030233383178713,1.4459378719329832,7.968625068664551,#66565c
1832,1832,9.487244606018066,1.2618545293807983,8.410423278808596,#5a524f
1836,1836,9.97267532348633,6.494225025177001,16.927976608276367,#c08080
1843,1843,7.577569484710692,3.6033005714416495,7.104256629943848,#545659
1862,1862,12.198781967163088,3.2993395328521733,10.288241386413574,#7e686c
1867,1867,7.950387477874755,8.301560401916504,-2.2291719913482666,#969496
1881,1881,12.359550476074213,4.43281364440918,7.430913448333741,#857979
1903,1903,12.905076026916506,-5.073423385620117,3.0060913562774663,#3f4245
1904,1904,11.411336898803713,1.2273800373077393,6.994950294494629,#313435
