index,x,y,label
170,-1.8729029,0.7486677,2
171,-3.41848,2.9096608,4
172,3.5850782,-7.294286,4
173,1.1537247,-8.869676,0
174,3.3011894,-3.5056787,4
175,-2.6358242,3.2051759,0
176,4.105914,2.5163054,5
177,-2.982956,2.5112233,1
178,6.229807,1.0542426,5
179,0.8065548,3.0258965,0
180,-0.669364,-0.10668659,2
181,5.087104,-2.750329,4
182,-1.9264355,13.11805,0
183,-5.003343,4.2994895,1
184,3.0404205,4.6592317,0
185,4.575511,-8.79933,5
186,3.782154,-3.5821798,4
187,-0.34622717,4.4481864,3
188,3.750739,-3.6756833,2
189,-1.1366649,0.102731705,2
190,-2.6399708,-2.0731168,2
191,5.312237,2.8003764,2
192,-0.063052654,-10.431024,4
193,-2.7578688,7.0826726,0
194,0.55121136,-10.345057,1
195,3.5104399,-6.540456,4
196,-5.84427,0.3996806,5
197,0.64962196,-11.783472,4
198,-1.9353752,0.32434893,2
199,-2.637673,3.34444,1
200,-3.4389906,5.0352883,1
201,-2.1074457,4.6146464,1
202,1.3496981,-4.0719767,0
203,-8.5753975,-8.519657,2
204,7.7209816,-0.9413922,0
205,-2.5663815,5.3627706,3
206,-3.0080137,11.193085,0
207,4.22937,-3.3637877,4
208,5.32561,-8.29672,5
209,-6.241065,-4.9359603,0
210,0.111918926,5.543693,3
211,7.8476315,-0.93766,0
212,-0.29587984,14.540394,0
213,-0.0051140785,4.644792,3
214,1.7689047,-9.627884,5
215,-0.7021022,1.8514662,0
216,-9.930187,-2.358022,0
217,5.444273,-8.150674,5
218,4.237013,-8.622543,4
219,0.9022608,-11.819307,4
220,-4.202956,5.4512506,3
221,7.727474,-12.790154,0
222,-5.116453,0.83724546,1
223,4.292983,-3.6174963,4
224,-0.04030752,-10.546425,4
225,4.6296043,-7.7940516,5
226,4.8399153,-7.4144278,5
227,-6.7994146,-1.1242266,5
228,4.0866175,-3.7423801,4
229,-8.816452,9.228161,0
230,-1.658627,3.7829604,3
231,1.9033403,-1.7251289,3
232,-0.46592188,-8.675874,1
233,-9.85454,3.209826,1
234,-4.5687647,4.734367,1
235,-8.530251,-8.476036,0
236,1.0720205,1.1008425,0
237,-9.88557,3.2782369,0
238,13.070662,-3.109974,0
239,0.40321255,6.110452,3
240,-0.15138054,2.2223954,0
241,0.5319443,2.8854427,0
242,1.03059,-10.328473,4
243,0.4401865,2.309195,0
244,-2.3224473,-0.08634615,2
245,-2.3292422,-1.8085718,2
246,2.185236,-11.311932,2
247,0.5176306,2.0962563,0
248,-5.3412647,4.384526,0
249,-2.293025,0.6689453,2
250,2.025898,-1.882868,2
251,0.3202572,5.4754376,3
252,0.6304493,-9.656107,5
253,4.1187963,-7.9979544,4
254,0.34098434,1.2368813,0
255,2.9107523,-0.885746,0
256,2.6338053,-0.9377594,0
257,5.0362406,-0.60183716,5
258,0.7503414,-0.4651904,2
259,-5.2741117,4.2906938,0
260,4.874406,-0.99674845,5
261,-1.2062235,5.7416425,3
262,-4.28761,3.965485,1
263,-0.06783676,2.4605985,2
264,-1.6668339,5.0276732,3
265,7.6941576,-12.8035965,0
266,4.1430063,-1.1953828,3
267,-3.1341486,4.526524,1
268,3.6439247,-7.7892976,4
269,-5.2670403,1.1844783,1
270,-3.3328586,-1.1762128,0
271,-2.1188674,2.2428298,0
272,-0.41935682,-8.560561,4
273,5.489566,6.7882285,0
274,1.9710445,-2.8318396,2
275,0.54029846,-9.660995,5
276,-0.22837448,1.9736309,0
277,3.605856,-6.012532,4
278,-5.373845,1.0647502,5
279,5.6713343,1.28831,5
280,-0.51558733,4.002235,3
281,0.044485092,-0.87194157,0
282,4.5840425,-7.738626,5
283,4.945177,-7.604146,5
284,6.45078,1.0479841,5
285,-5.7603025,-9.680615,0
286,-0.71289825,7.269488,3
287,-2.7354012,1.9200654,0
288,7.902588,-13.334175,0
289,0.9909048,4.2835183,0
290,-11.414295,2.568808,0
291,-1.8234916,1.8757839,2
292,-1.8234577,5.2323985,1
293,5.524788,6.6951566,3
294,-1.8566298,5.262734,1
295,-1.9853816,5.853722,3
296,-1.3901982,0.76350355,2
297,-2.8584814,1.9495597,2
298,6.6621017,-13.195545,0
299,5.641762,-2.5395417,4
300,-1.1195569,5.874926,3
