x,y,z
13.852302,2.8169086,9.066069
12.4832115,4.1015105,7.5512843
10.127916,0.8897433,4.7897263
8.078831,7.7117586,5.512176
11.138822,6.204749,5.277739
10.156288,1.4769105,4.260084
8.33637,3.7491264,6.9601674
8.333667,7.850817,5.3312845
9.97514,6.410717,17.015707
9.773908,3.581736,9.417829
7.921132,8.4676,-2.3530798
10.349354,5.0108776,7.135506
10.783718,5.4502025,9.298993
7.009376,7.717213,-2.7427468
10.513614,3.851614,9.671412
10.353473,5.666488,7.4649873
6.2924743,1.3405795,0.6341409
5.8836083,7.18493,-1.8146408
9.57708,4.4446297,6.6574626
7.1904087,7.198872,-3.2432456
9.3214035,-0.25480857,6.3324494
9.716797,4.183103,9.644722
5.532117,7.95184,-3.8725104
7.681386,8.351275,1.0299863
13.377805,4.1523967,9.402926
10.504593,4.0901732,10.166967
9.443531,4.44688,7.6920094
8.697178,-1.0053073,-1.9224601
13.071541,4.1576967,5.1164894
9.026415,3.343086,7.207452
13.651372,3.383008,9.113963
16.24398,5.6608253,2.5278625
10.932313,5.805643,8.129119
9.755041,4.9056773,6.046675
13.04121,6.634043,12.327761
9.3992815,2.79012,5.240783
7.8560767,1.8911281,-5.5595193
12.10646,4.474247,9.398773
11.921847,1.5252825,7.178205
9.194455,3.1730168,5.91672
9.1719675,3.1530788,5.8103647
9.280951,12.351485,6.6522646
7.8932095,4.944251,4.7535896
12.13327,5.079093,5.5055447
11.1582155,5.591022,7.514371
8.488502,3.1793272,7.7087736
8.212739,4.9251437,6.606817
10.05482,7.5649695,-2.2803016
10.216648,5.056717,7.2632537
11.702088,4.612134,6.638128
9.820254,7.4393425,-2.9428616
8.902955,2.3314521,8.230163
12.479188,4.9105268,6.898079
9.063103,0.72531945,8.302846
9.7734375,4.692482,8.91867
10.522796,3.0251956,5.845107
12.325633,3.357332,10.489598
7.8275523,9.092014,0.8777082
8.3179035,1.9420166,7.6674395
9.208564,1.3553351,8.232539
9.506651,2.4647927,4.954596
11.506893,8.450892,7.2915907
9.960928,2.8662157,6.052164
10.9317255,4.6777234,9.307001
9.151389,9.372767,0.8581489
7.8107185,8.788833,-0.15052253
