x,y,z
-1.0108526,-2.7379236,3.3391235
-2.466395,-0.00017047372,-3.6847599
0.8950853,3.270205,0.4468253
-1.1843529,-3.9543312,1.0190542
-0.7204484,0.43547696,-3.9027915
-2.4243302,-0.6268625,-2.1688273
3.772688,-0.299769,1.9020501
0.64167225,-2.098882,1.1069956
3.3576813,0.4917713,0.5386784
-3.1219425,2.5332944,-9.425333
0.41151017,1.7612518,-0.39181185
1.0386556,1.0464368,-0.4490499
3.6110036,-0.9636512,2.7925816
-0.88294053,-2.3845491,2.2066028
3.7670956,0.24853209,0.86258364
1.4102589,1.7178171,-1.3389231
4.9731164,1.5527864,0.83485115
-2.1388533,2.0024092,1.3990399
4.2036214,5.4920964,-6.219529
3.0012188,-0.57577646,1.9743273
-2.7742531,2.6379008,3.5728204
-2.2210402,0.6767578,1.8547314
1.021434,1.9948564,-1.2674253
0.19501597,-3.2436614,0.53135604
0.9293225,2.0243335,-1.1245859
1.9579971,-1.7809775,0.86560047
1.6944761,-2.107131,0.1886429
0.3156267,1.0716391,-0.318304
-2.1329951,-1.4043137,2.182613
-1.377362,0.2102835,-2.7125509
3.9158812,0.99021477,0.64081186
2.5417216,-0.5691256,0.5294941
-1.8251624,0.084098466,-1.9303553
0.06375955,0.13039245,3.010525
1.6394695,-0.72953284,0.7129103
-0.020337543,2.0828917,3.4700203
1.9686108,-0.5493554,0.12200293
1.4513165,-0.73794734,1.2116327
2.5131905,-1.2033573,4.011862
0.3032256,-2.0767946,-3.32009
0.23073371,2.628241,3.0182967
-0.38096228,0.9192674,3.3128698
-2.72331,1.4965929,1.1058486
4.285136,-2.134231,0.28057408
-1.9819105,1.9646295,1.8656158
2.0739996,-1.4143541,1.1453846
0.6415886,-2.0929415,-3.1563654
-0.19655186,-2.3084328,-0.6235912
0.9365506,-1.9099953,-3.1372206
-1.026167,2.6025374,4.9305954
1.5126419,1.7045294,1.9504758
-2.7821443,-0.8398056,0.23186298
-1.6877632,1.3547556,3.2465873
0.32986593,3.614117,2.7584894
4.4248643,5.544872,-6.046363
-3.3912144,2.5811093,-9.135738
-1.7530807,2.9085364,2.3848157
1.3179845,2.0354247,2.038794
-1.7103167,-0.8163011,-2.3547266
1.2963347,-1.4376155,2.3303735
-3.1523688,0.94335115,0.9567
1.1136304,2.4181778,-0.76397085
1.3969343,-0.032471005,-0.44638282
